URL                                                                 | Module                                             | Name                                                | Decorator
/catalogos-de-sistema/                                              | igs_app_catalogo.views.Catalogos                   | idx_app_catalogo                                    | 
/categoria-de-productos/                                            | igs_app_base.views.List                            | categoriaproducto_list                              | 
/categoria-de-productos/<int:pk>                                    | igs_app_base.views.Read                            | categoriaproducto_read                              | 
/categoria-de-productos/actualizar/<int:pk>                         | igs_app_base.views.Update                          | categoriaproducto_update                            | 
/categoria-de-productos/eliminar/<int:pk>                           | igs_app_base.views.Delete                          | categoriaproducto_delete                            | 
/categoria-de-productos/eliminar/multiple/                          | igs_app_base.views.DeleteMany                      | categoriaproducto_delete_many                       | 
/categoria-de-productos/nuevo/                                      | igs_app_base.views.Create                          | categoriaproducto_create                            | 
/color-bootstrap/                                                   | igs_app_base.views.List                            | bootstrapcolor_list                                 | 
/color-bootstrap/<int:pk>                                           | igs_app_base.views.Read                            | bootstrapcolor_read                                 | 
/color-bootstrap/actualizar/<int:pk>                                | igs_app_base.views.Update                          | bootstrapcolor_update                               | 
/color-bootstrap/eliminar/<int:pk>                                  | igs_app_base.views.Delete                          | bootstrapcolor_delete                               | 
/color-bootstrap/eliminar/multiple/                                 | igs_app_base.views.DeleteMany                      | bootstrapcolor_delete_many                          | 
/color-bootstrap/nuevo/                                             | igs_app_base.views.Create                          | bootstrapcolor_create                               | 
/configuracion/                                                     | igs_app_base.vw_app.Configuracion                  | idx_app_configuracion                               | 
/entrar/                                                            | igs_app_base.session.vw.Login                      | session_login                                       | 
/estado-de-personalizacion/                                         | igs_app_base.views.List                            | estadopersonalizacion_list                          | 
/estado-de-personalizacion/<int:pk>                                 | igs_app_base.views.Read                            | estadopersonalizacion_read                          | 
/estado-de-personalizacion/actualizar/<int:pk>                      | igs_app_base.views.Update                          | estadopersonalizacion_update                        | 
/estado-de-personalizacion/eliminar/<int:pk>                        | igs_app_base.views.Delete                          | estadopersonalizacion_delete                        | 
/estado-de-personalizacion/eliminar/multiple/                       | igs_app_base.views.DeleteMany                      | estadopersonalizacion_delete_many                   | 
/estado-de-personalizacion/nuevo/                                   | igs_app_base.views.Create                          | estadopersonalizacion_create                        | 
/favorito/                                                          | igs_app_base.views.List                            | favorito_list                                       | 
/favorito/<int:pk>                                                  | igs_app_base.views.Read                            | favorito_read                                       | 
/favorito/actualizar/<int:pk>                                       | igs_app_base.views.Update                          | favorito_update                                     | 
/favorito/add/                                                      | igs_app_favorito.favorito.vw.UsrAddFav             | favorito_add                                        | 
/favorito/delete/                                                   | igs_app_favorito.favorito.vw.UsrDeleteFav          | favorito_delete                                     | 
/favorito/eliminar/<int:pk>                                         | igs_app_base.views.Delete                          | favorito_delete                                     | 
/favorito/eliminar/multiple/                                        | igs_app_base.views.DeleteMany                      | favorito_delete_many                                | 
/favorito/get/                                                      | igs_app_favorito.favorito.vw.UsrGetList            | favorito_get                                        | 
/favorito/nuevo/                                                    | igs_app_base.views.Create                          | favorito_create                                     | 
/favorito/yo/                                                       | igs_app_favorito.favorito.vw.UsrList               | mine_fav_list                                       | 
/favorito/yo/<int:pk>                                               | igs_app_favorito.favorito.vw.UsrRead               | mine_fav_read                                       | 
/favorito/yo/actualizar/<int:pk>                                    | igs_app_favorito.favorito.vw.UsrUpdate             | mine_fav_update                                     | 
/favorito/yo/eliminar/<int:pk>                                      | igs_app_favorito.favorito.vw.UsrDelete             | mine_fav_delete                                     | 
/favorito/yo/eliminar/multiple/                                     | igs_app_favorito.favorito.vw.UsrDeleteMany         | mine_fav_delete_many                                | 
/favorito/yo/nuevo/                                                 | igs_app_favorito.favorito.vw.UsrCreate             | mine_fav_create                                     | 
/menu-principal/                                                    | igs_app_base.menu.vw.List                          | menuopc_list                                        | 
/menu-principal/<int:pk>                                            | igs_app_base.views.Read                            | menuopc_read                                        | 
/menu-principal/actualizar/<int:pk>                                 | igs_app_base.views.Update                          | menuopc_update                                      | 
/menu-principal/eliminar/<int:pk>                                   | igs_app_base.views.Delete                          | menuopc_delete                                      | 
/menu-principal/eliminar/multiple/                                  | igs_app_base.views.DeleteMany                      | menuopc_delete_many                                 | 
/menu-principal/nuevo/                                              | igs_app_base.views.Create                          | menuopc_create                                      | 
/migrar/                                                            | igs_app_base.views.Migrate                         | aplicar_migraciones_vw                              | 
/nuestros-produtos/                                                 | producto.views.DisplayOpenProds                    | display_open_products                               | 
/paleta-de-color/                                                   | igs_app_base.views.List                            | tipocolor_list                                      | 
/paleta-de-color/<int:pk>                                           | catalogo.tipocolor.vw.Read                         | tipocolor_read                                      | 
/paleta-de-color/actualizar/<int:pk>                                | igs_app_base.views.Update                          | tipocolor_update                                    | 
/paleta-de-color/eliminar/<int:pk>                                  | igs_app_base.views.Delete                          | tipocolor_delete                                    | 
/paleta-de-color/eliminar/multiple/                                 | igs_app_base.views.DeleteMany                      | tipocolor_delete_many                               | 
/paleta-de-color/nuevo/                                             | igs_app_base.views.Create                          | tipocolor_create                                    | 
/parametro-de-sistema/                                              | igs_app_base.views.List                            | parametrosistema_list                               | 
/parametro-de-sistema/<int:pk>                                      | igs_app_base.views.Read                            | parametrosistema_read                               | 
/parametro-de-sistema/actualizar/<int:pk>                           | igs_app_base.views.Update                          | parametrosistema_update                             | 
/parametro-de-sistema/eliminar/<int:pk>                             | igs_app_base.views.Delete                          | parametrosistema_delete                             | 
/parametro-de-sistema/eliminar/multiple/                            | igs_app_base.views.DeleteMany                      | parametrosistema_delete_many                        | 
/parametro-de-sistema/establecer/                                   | igs_app_base.parametrosistema.vw.Set               | parametrosistema_set                                | 
/parametro-de-sistema/nuevo/                                        | igs_app_base.views.Create                          | parametrosistema_create                             | 
/parametro-de-usuario/                                              | igs_app_base.views.List                            | parametrousuario_list                               | 
/parametro-de-usuario/<int:pk>                                      | igs_app_base.views.Read                            | parametrousuario_read                               | 
/parametro-de-usuario/actualizar/<int:pk>                           | igs_app_base.views.Update                          | parametrousuario_update                             | 
/parametro-de-usuario/eliminar/<int:pk>                             | igs_app_base.views.Delete                          | parametrousuario_delete                             | 
/parametro-de-usuario/eliminar/multiple/                            | igs_app_base.views.DeleteMany                      | parametrousuario_delete_many                        | 
/parametro-de-usuario/establecer/                                   | igs_app_base.parametrousuario.vw.Set               | parametrousuario_set                                | 
/parametro-de-usuario/nuevo/                                        | igs_app_base.views.Create                          | parametrousuario_create                             | 
/perfil-de-usuario/                                                 | igs_app_base.views.List                            | group_list                                          | 
/perfil-de-usuario/<int:pk>                                         | igs_app_base.views.Read                            | group_read                                          | 
